id_traj,t [s],x [cm],y [cm]
5,1.72,-0.2672401594031931,2.9726652338394075
5,1.76,-0.28878935450699633,3.041552172377179
5,1.8,-0.33273561535987706,3.1336840473092975
5,1.84,-0.35386087514104375,3.2253919869187797
5,1.88,-0.3754100702448469,3.294278925456551
5,1.92,-0.3969592653486501,3.363165863994321
5,1.96,-0.3956874593807432,3.4316288672094535
5,2.0,-0.37159465234112354,3.499667935101954
5,2.04,-0.3242569089071547,3.590104068743527
5,2.08,-0.2773431007958237,3.65771920131339
5,2.12,-0.23042929268449336,3.725334333883252
5,2.16,-0.20633648564487497,3.7933734017757517
5,2.2,-0.15942267753354264,3.8609885343456134
5,2.24,-0.11293280474484813,3.9057826658437658
5,2.28,-0.04319799556180569,3.972973863090991
5,2.32,0.026536813621237398,4.040165060338219
5,2.36,0.0962716228042805,4.107356257585447
5,2.4,0.14318543091561023,4.174971390155307
5,2.44,0.167702173277867,4.2658314591195206
5,2.48,0.23743698246091008,4.333022656366745
5,2.52,0.2843507905722411,4.400637788936608
5,2.56,0.3312645986835721,4.468252921506468
5,2.6,0.37817840679490317,4.535868054076335
5,2.64,0.40184727851188695,4.581086120897119
5,2.68,0.42594008555150714,4.649125188789617
5,2.72,0.4504568279137614,4.73998525775383
5,2.76,0.4517286338816696,4.808448260968963
5,2.8,0.45300043984957644,4.8769112641840975
5,2.84,0.43145124474577523,4.945798202721868
5,2.88,0.3866571132476217,4.992288075510562
5,2.92,0.3418629817494731,5.038777948299258
5,2.96,0.2970688502513233,5.085267821087954
5,3.0,0.2526986540758074,5.154578694948361
5,3.04,0.18508352150594298,5.201492503059689
5,3.08,0.14028939000779317,5.2479823758483874
5,3.12,0.0722503221152974,5.272075182888007
5,3.16,0.004635189545431634,5.318988990999337
5,3.2,-0.08622487941877618,5.343505733361594
5,3.24,-0.15384001198863936,5.390419541472923
5,3.28,-0.2214551445585025,5.437333349584258
5,3.32,-0.28907027712836636,5.484247157695589
5,3.36,-0.35753328034349985,5.485518963663495
5,3.4,-0.4255723482359982,5.509611770703115
5,3.44,-0.5168563525228466,5.5113075119936585
5,3.48,-0.5616504840209955,5.557797384782352
5,3.52,-0.6296895519134944,5.581890191821973
5,3.56,-0.6744836834116452,5.628380064610669
5,3.6,-0.6964568138380861,5.674446002076728
5,3.64,-0.7188538795871608,5.697690938471075
5,3.68,-0.7412509453362358,5.720935874865421
5,3.72,-0.7636480110853108,5.7441808112597705
5,3.76,-0.7851972061891153,5.81306774979754
5,3.8,-0.8071703366155549,5.859133687263601
5,3.84,-0.828719531719358,5.92802062580137
5,3.88,-0.8274477257514493,5.996483629016506
5,3.92,-0.8029309833891944,6.0873436979807165
5,3.96,-0.8012352420986517,6.178627702267564
5,4.0,-0.7999634361307422,6.247090705482695
5,4.04,-0.7986916301628352,6.3155537086978315
5,4.08,-0.7974198241949257,6.384016711912965
5,4.12,-0.7729030818326695,6.474876780877175
5,4.16,-0.7483863394704141,6.565736849841383
5,4.2,-0.7238695971081595,6.6565969188055965
5,4.24,-0.7225977911402497,6.72505992202073
5,4.28,-0.6980810487779943,6.81591999098494
5,4.32,-0.6963853074874509,6.907203995271786
5,4.36,-0.6942656308742703,7.021309000630344
5,4.4,-0.6925698895837268,7.11259300491719
5,4.44,-0.6908741482931827,7.203877009204035
5,4.48,-0.6891784070026393,7.295161013490881
5,4.52,-0.6646616646403833,7.386021082455094
5,4.56,-0.6629659233498385,7.477305086741939
5,4.6,-0.6616941173819308,7.545768089957073
5,4.64,-0.6599983760913875,7.637052094243921
5,4.68,-0.6583026348008427,7.728336098530767
5,4.72,-0.6342098277612225,7.796375166423265
5,4.76,-0.6329380217933148,7.864838169638402
5,4.8,-0.6312422805027702,7.956122173925247
5,4.84,-0.6295465392122255,8.047406178212093
5,4.88,-0.6054537321726067,8.115445246104589
5,4.92,-0.5809369898103509,8.206305315068802
5,4.96,-0.5568441827707314,8.274344382961294
5,5.0,-0.5323274404084755,8.365204451925509
5,5.04,-0.5082346333688563,8.433243519818008
5,5.08,-0.48414182632923664,8.501282587710508
5,5.12,-0.4144070171461928,8.568473784957735
5,5.16,-0.3674932090348619,8.636088917527596
5,5.2,-0.3434004019952429,8.704127985420094
5,5.24,-0.3193075949556226,8.772167053312595
5,5.28,-0.29521478791600303,8.84020612120509
5,5.32,-0.27112198087638406,8.908245189097588
5,5.36,-0.22420817276505303,8.975860321667453
5,5.4,-0.17729436465372064,9.043475454237317
5,5.44,-0.15277762229146588,9.134335523201525
5,5.48,-0.10586381418013352,9.201950655771391
5,5.52,-0.1045920082122266,9.270413658986524
5,5.56,-0.08049920117260567,9.338452726879023
5,5.6,-0.10162446095377432,9.430160666488506
5,5.64,-0.10035265498586608,9.498623669703637
5,5.68,-0.09865691369532134,9.589907673990487
5,5.72,-0.09780904305004964,9.635549676133907
5,5.76,-0.09696117240477793,9.681191678277335
5,5.8,-0.14175530390292773,9.727681551066024
5,5.84,-0.18654943540108013,9.774171423854721
5,5.88,-0.20809863050488397,9.843058362392489
5,5.92,-0.20682682453697643,9.911521365607623
5,5.96,-0.22837601964077894,9.980408304145397
5,6.0,-0.22752814899550722,10.026050306288822
5,6.04,-0.22668027835023483,10.071692308432246
5,6.08,-0.24865340877667266,10.117758245898301
5,6.12,-0.24822947345403806,10.140579246970013
5,6.16,-0.27020260388047773,10.186645184436076
5,6.2,-0.26935473323520537,10.232287186579496
5,6.24,-0.24568586151822167,10.277505253400284
5,6.28,-0.2448379908729499,10.323147255543706
5,6.32,-0.2439901202276782,10.368789257687133
5,6.36,-0.22032124851069376,10.414007324507919
5,6.4,-0.19665237679371064,10.4592253913287
5,6.44,-0.17298350507672627,10.50444345814949
5,6.48,-0.14931463335974246,10.549661524970277
5,6.52,-0.10282476057104793,10.594455656468428
5,6.56,-0.056334887782352114,10.639249787966577
